Year,President
2020,Trump
2019,Trump
2018,Trump
2017,Trump
2016,Obama
2015,Obama
2014,Obama
2013,Obama
2012,Obama
2011,Obama
2010,Obama
2009,Obama
2008,GW_Bush
2007,GW_Bush
2006,GW_Bush
2005,GW_Bush
2004,GW_Bush
2003,GW_Bush
2002,GW_Bush
2001,GW_Bush
2000,Clinton
1999,Clinton
1998,Clinton
1997,Clinton
1996,Clinton
1995,Clinton
1994,Clinton
1993,Clinton
1992,GHW_Bush
1991,GHW_Bush
1990,GHW_Bush
1989,GHW_Bush
1988,Reagan
1987,Reagan
1986,Reagan
1985,Reagan
1984,Reagan
1983,Reagan
1982,Reagan
1981,Reagan
1980,Carter
1979,Carter
1978,Carter
1977,Carter
1976,Ford
1975,Ford
1974,Ford
1973,Nixon
1972,Nixon
1971,Nixon
1970,Nixon
1969,Nixon
1968,LBJ
1967,LBJ
1966,LBJ
1965,LBJ
1964,LBJ
1963,LBJ
1962,JFK
1961,JFK
1960,Eisenhower
1959,Eisenhower
1958,Eisenhower
1957,Eisenhower
1956,Eisenhower
1955,Eisenhower
1954,Eisenhower
1953,Eisenhower
1952,Truman
1951,Truman
1950,Truman
1949,Truman
1948,Truman
1947,Truman
